ticker,company_name,asset_type,universe_name,source_type,source_name,strategy_role,account_target,target_weight,sector,industry,cusip,cik,date_added,as_of_date,notes,active
JCI,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00097736,-,,,,,21/05/2026,,True
DOV,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00097264,-,,,,,21/05/2026,,True
BSX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00096938,-,,,,,21/05/2026,,True
OTIS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00096477,-,,,,,21/05/2026,,True
BIIB,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00096403,-,,,,,21/05/2026,,True
CNP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00096231,-,,,,,21/05/2026,,True
EIX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00093895,-,,,,,21/05/2026,,True
CNC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0009362,-,,,,,21/05/2026,,True
CFG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00093175,-,,,,,21/05/2026,,True
PPL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00092808,-,,,,,21/05/2026,,True
XYL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00091864,-,,,,,21/05/2026,,True
RJF,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00091565,-,,,,,21/05/2026,,True
ES,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00090656,-,,,,,21/05/2026,,True
EW,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00090527,-,,,,,21/05/2026,,True
AVB,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00090449,-,,,,,21/05/2026,,True
URI,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00090251,-,,,,,21/05/2026,,True
DOW,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00089458,-,,,,,21/05/2026,,True
ARES,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00088715,-,,,,,21/05/2026,,True
CTSH,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00087224,-,,,,,21/05/2026,,True
